symptoms,sentences
['Gastrointestinal disorders'],"Your situation is considered to be caused by gastroenteritis or gastrointestinal dysfunction. It is recommended to eat lightly, keep warm, do not eat spicy, greasy and raw or cold foods, drink more hot water, do not smoke or drink, and exercise properly after meals. You can take trimebutine, bifidobacteria triple live bacteria tablets and rabeprazole together to improve symptoms. If it doesn't work, you need to go to the hospital for a gastrointestinal endoscopy, etc. It is better to take a closer look."
"['hemorrhoid', 'Blood in stool']","Hemorrhoids or rectal polyps are likely to cause bleeding. It is recommended that you first go to the hospital for a digital anal examination to rule out the possibility of hemorrhoids. If there is no problem, you need to have a colonoscopy and regular treatment. In addition, it is recommended that you have a light diet, do not smoke or drink, eat more fruits and vegetables, less spicy and greasy, and keep the stool smooth, and you can take Yunnan Baiyao to stop bleeding if you have more bleeding."
['diarrhea'],"Uh-huh. I haven't taken cephalosporin before, and whether I have diarrhea after taking the medicine."
['Gastrointestinal disorders'],"By the way, if you often stay up late, spicy and fatty food stimulates your diet, smoking, drinking or combined with liver and gallbladder diseases can also cause gastrointestinal dysfunction. You can use Jigucao Capsules or avoid staying up late and tired during treatment."
"['hemorrhoid', 'hemorrhoid']",Consider that caused by hemorrhoids. It can be treated with topical hemorrhoid cream.
['diarrhea'],Diarrhea is related to the intestines.
"['stomachache', 'Reflux']","Hello, do you have stomach pain or acid reflux symptoms?"
['exhaust'],Farting has a lot to do with the intestines.
"['exhaust', 'Bowel', 'Gastrointestinal disorders']","At present, there is a lot of fart, and the bowel sounds are hyperactive. Consider the problem of intestinal dysfunction. Take some medicine to adjust it."
"['diarrhea', 'stomach ache']",How many days have you had stomach ache and diarrhea?
['allergy'],Nothing allergic? The effects of Smecta and Norfloxacin are okay.
"['diarrhea', 'stomach ache']","There are many reasons for abdominal pain. Generally, diarrhea with abdominal pain is basically used in this way, and other specific problems are treated specifically."
['stomach ache'],Do you have abdominal pain?
['indigestion'],"Hello, consider that it is caused by indigestion, eat regularly, do not overeating, and exercise properly."
['Cramps'],"It may be gastrointestinal spasm,"
['stomach ache'],"Hmm, I suggest you buy a Shuliqi to relieve abdominal pain, and use Shuangshubao➕laculose when you are constipated."
"['Cramps', 'Gastrointestinal disorders']","This is hard to say, it may only be caused by intestinal spasm caused by gastrointestinal dysfunction, but it needs to be checked in conjunction with laboratory tests."
['stomach ache'],"Buying Shuliqi can relieve abdominal pain, and add Shuangshubao➕laculose when constipation is available in pharmacies."
"['nausea', 'Vomit']",Do you have nausea and vomiting? Low back pain? How is the diet?
"['Frequent urination', 'Urgency']",Do you have frequent urination and urgency and painful urination?
['Cramps'],"If the short-term pain improves, it is probably still spastic. Keep warm and drink plenty of hot water. Dynamic observation."
"['diarrhea', 'stomach ache']",Was there any abdominal pain before the diarrhea?
['Gastrointestinal disorders'],"You can usually take some drugs that regulate gastrointestinal function, such as probiotics, drink more water, exercise more, eat more fresh fruits and vegetables, and develop a healthy lifestyle. The gastrointestinal dysfunction of most young people will gradually improve after a period of treatment."
['exhaust'],"Usually people put 6 to 15 farts a day, expelling about 500 to 1500 ml of gas. The reason why there is such a big gap is mainly related to the food people eat. If you eat more gas-producing foods such as potatoes and onions, you will fart more."
['exhaust'],"Drinking alcohol will stimulate the gastrointestinal tract to move faster, which may also be the reason for your excessive gas."
['stomach ache'],"Hello, how long has this situation been? Does your stomach hurt? Have you done any related inspections?"
['Bloating'],Are there any other discomforts besides bloating?
"['Bloating', 'indigestion']","Abdominal distension is the main cause, and most people in their 20s consider chronic gastritis and dyspepsia."
"['Hiccup', 'indigestion']","Yes, the food you eat is not digested in the stomach and emptying slowly, and produces a lot of gas. It will feel a little easier to burp."
['Bloating'],Constipation can also increase abdominal distension.
['indigestion'],"First of all, the improvement of life likes is very important. The most basic thing is to adjust the diet. Eat more fruits and vegetables, such as bananas, apples, corns, sweet potatoes, and the like. It is easy to get gallbladder disease. Don't overeating. This is the most basic thing. Then you can drink a glass of boiled water, honey water, etc. on an empty stomach every morning to develop the habit of regular bowel movements. Increased exercise can improve indigestion and constipation."
['indigestion'],"Your symptoms are mainly indigestion, gastritis is not serious, and gastritis will be cured if digestion is not good."
"['Bloating', 'Hiccup', 'Reflux']",Do hiccups regurgitate acid water? Is it bloating? Have you had a gastroscope? Have you ever taken any medicine.
['Cramps'],"You can eat it if you have cramps, but it is best not to eat it temporarily."
"['indigestion', 'Anorexia']","Then usually eat lightly, don't eat foods that are difficult to digest, and don't eat raw and cold foods that stimulate greasy and spicy foods."
"['Vomit', 'Dizziness', 'Chest pain', 'Difficulty breathing']","Vomiting, chest pain, difficulty breathing, dizziness."
['stomach ache'],Does your stomach hurt?
['diarrhea'],What did you eat before diarrhea?
"['Reflux', 'Heartburn']",Is there heartburn or acid reflux? How is the bowel movement.
['Hiccup'],How long does it take to recover from hiccups?
['nausea'],"Don't worry, it's just nausea and good cooperation will be fine."
"['Bloating', 'indigestion']",This is the bloating may be caused by indigestion.
['Bloating'],"If you want to diagnose what is causing your abdominal bloating, you need to have a gastrointestinal endoscopy."
['Reflux'],You can skip omeprazole without acid reflux.
['hemorrhoid'],Do you usually have hemorrhoids?
['stomach ache'],Do you have abdominal pain? Have a history of gastroenteritis?
['Gastrointestinal disorders'],"This situation is prone to occur after being cold, usually accompanied by intestinal dysfunction."
"['stomach ache', 'Vomit', 'Blood in stool', 'Black stool']","If it is accompanied by discomfort, such as vomiting, abdominal pain, black stools, bleeding stools, etc., it is best to go to the hospital for specialist examination."
"['Sore throat', 'hard to swallow']","If you have pharyngeal discomfort, swallowing pain, etc., you should also go to a specialist."
"['Reflux', 'Heartburn']","Hello, are there any other discomforts, such as acid reflux and heartburn?"
"['Bloating', 'Gastrointestinal discomfort']","Gastritis, cholecystitis, and poor gastrointestinal function will cause bloating. Of course, drugs may also have this side effect."
['Bloating'],The most effective way is to stop taking it and change the medicine if the stomach is bloated.
['Gastrointestinal discomfort'],Stomach discomfort is caused by gastroenteritis. Stool several times.
['diarrhea'],What food did you eat before diarrhea?
['stomach ache'],"Yep. Soreness around the belly button is related to gastroenteritis, caused by the intestines."
"['fever', 'Blood in stool']","Hi! How many bowel movements a day? Is there pus and blood in the stool? Are there other conditions such as fever, cold, etc.?"
['Gastrointestinal disorders'],"Consider gastrointestinal dysfunction in general. Pay attention to light diet and regular diet, avoid irritating spicy foods, cold foods, fried foods, etc., avoid staying up late, tobacco and alcohol, etc., drink more water, exercise more, and you can drink a bottle of probiotic yogurt every day Regulate the intestinal flora."
['fever'],No fever!
"['Bloating', 'nausea', 'Reflux', 'indigestion', 'Heartburn']","Apart from exhaust, are there other symptoms? For example, bloating is not digestible? Acid reflux heartburn? nausea?"
"['nausea', 'Vomit']",Do you have any other discomforts like nausea and vomiting?
"['Frequent urination', 'Urgency']","Hi. Do you have frequent urination or urgency? If you are registered, you can call the Department of Urology."
['diarrhea'],Do you have diarrhea.
"['Bloating', 'nausea', 'Vomit']","Are there any other symptoms? Bloating, nausea, vomiting."
['hemorrhoid'],"Sorry, I made a mistake. Are there hemorrhoids."
['Tensile and heavy'],Your situation is tenemy.
['diarrhea'],How many times a day? That's not diarrhea.
['diarrhea'],You are not diarrhea.
['Bloating'],Is your belly bloated?
['Tensile and heavy'],"Oh, I get it, your name is tenemy, it feels like you want to pull it, but sometimes you can’t pull it out, and then sometimes it feels unclean, right?"
['Gastrointestinal disorders'],This is a manifestation of intestinal dysfunction.
['Reflux'],"Hello, I am glad to answer you. The performance of reflux."
['Helicobacter infection'],Have you checked Helicobacter pylori.
['Helicobacter infection'],"Helicobacter pylori is spread by mouth, and it is not difficult to cure it, but it is easy to get repeated infections."
['Helicobacter infection'],"You may not be killed completely or you may be infected again. You can go to the pharmacy to buy a mouthwash for Helicobacter pylori, and at the same time, complete the disinfection and separate the utensils."
['Helicobacter infection'],That is to treat your Helicobacter pylori infection.
['Helicobacter infection'],"Your gastrointestinal area is probably caused by Helicobacter pylori infection, so the symptoms will be relieved after killing."
